InputSize RandomBSTInsert RandomAVLInsert OrderedBSTInsert OrderedAVLInsert RandomBSTSearch RandomAVLSearch OrderedBSTSearch OrderedAVLSearch RandomBSTNegativeSearch RandomAVLNegativeSearch OrderedBSTNegativeSearch OrderedAVLNegativeSearch
1 988 2963 985 2621 801 577 928 479 769 571 873 545
2 229 694 284 681 386 267 449 315 320 242 346 316
3 296 711 250 651 280 226 352 255 283 230 322 225
4 275 757 325 777 311 260 300 286 309 275 293 255
5 308 793 307 843 245 265 280 309 275 289 278 277
6 469 857 378 850 248 279 295 306 298 307 310 288
7 361 818 390 823 276 378 295 326 425 302 381 293
8 310 1593 293 1602 263 218 311 265 359 246 353 226
9 370 2080 422 2111 304 234 334 262 409 253 403 243
10 555 2161 411 2186 309 244 347 267 442 283 619 274
20 407 2067 453 2099 326 253 356 282 520 295 528 272
30 454 1717 427 1812 303 238 335 306 433 278 490 265
40 420 495 465 521 315 244 349 278 501 351 502 276
50 558 638 515 614 363 273 412 348 606 332 688 362
60 663 600 581 605 365 279 420 337 536 274 570 264
70 510 604 488 532 346 251 429 304 419 251 444 286
80 521 562 555 577 357 268 424 323 492 283 535 329
90 572 690 624 649 395 280 517 399 584 296 620 301
100 636 785 724 731 439 305 526 370 628 352 642 332
200 739 876 780 942 532 348 661 448 725 361 713 377
300 655 825 729 803 508 367 622 461 662 387 774 402
400 815 903 767 927 598 403 733 483 692 434 839 488
500 764 944 791 941 619 448 789 570 739 442 820 443
600 796 912 806 906 675 436 807 524 737 439 928 437
700 895 990 924 1064 726 504 965 592 864 508 937 495
800 981 1189 1006 1238 794 537 991 627 947 557 979 536
900 1057 1327 1150 1354 879 586 1026 671 966 572 1044 600
1000 1089 1308 1158 1418 932 628 1033 695 1007 612 1130 589
2000 1217 1677 1276 1686 1007 684 1210 791 1045 644 1222 635
3000 1302 1825 1425 1915 1262 860 1515 1028 1224 805 1273 723
4000 1598 2012 1523 2072 1449 1036 1762 1192 1351 878 1515 830
5000 1652 2234 1622 2093 1663 1097 1876 1281 1503 942 1640 958
6000 1673 2159 1732 2228 1773 1183 1996 1487 1576 949 1859 997
7000 1824 2310 1896 2321 1794 1337 2161 1455 1707 1050 1999 1078
8000 1943 2379 1911 2484 1923 1320 2270 1545 2134 1374 2217 1173
9000 1986 2474 2042 2433 1984 1374 2687 1568 1990 1198 2501 1242
